  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
time;0.014;0.057;0.116;0.026;0.34;0.044;0.074;0.008;0.058;0.003
Fundamental;0.003;0.017;0.093;0.223;0.353;0.097;0.107;0.03;0.012;0.007
Management;0.014;0.325;0.066;0.016;0.288;0.028;0.022;0.053;0.093;0.042
October;0.003;0.268;0.13;0.102;0.033;0.131;0.001;0.031;0.13;0.004
Rights;0.002;0.008;0.065;0.217;0.41;0.109;0.092;0.031;0.002;0.01
agencies;0.074;0.044;0.054;0.004;0.025;0.101;0.014;0.04;0.006;0.157
into;0.026;0.402;0.052;0.003;0;0.008;0;0.253;0.011;0.081
nationals;0.024;0.013;0.396;0.032;0.036;0.027;0.343;0;0.042;0.021
quarter;0.167;0.12;0.027;0.023;0.014;0.203;0.009;0.174;0.206;0.046
these;0.609;0.113;0.039;0.007;0.005;0.074;0;0.015;0;0.086
three;0.174;0.065;0.017;0.012;0.299;0.001;0;0.077;0.016;0.184
but;0.153;0.119;0.007;0.025;0.007;0.036;0.014;0.201;0.091;0
during;0.2;0.015;0.073;0.287;0.029;0.048;0.037;0.155;0.013;0.023
or;0.612;0.011;0.235;0.05;0.031;0;0;0.006;0.003;0.024
together;0.006;0.327;0.096;0.003;0.012;0;0.006;0.018;0.106;0.125
1;0.015;0.1;0.033;0.197;0.151;0.1;0.039;0.042;0.005;0.013
Commission;0.206;0.006;0.036;0;0.252;0;0.042;0.054;0.018;0.105
management;0.083;0.364;0.01;0.023;0.066;0;0.008;0.091;0.162;0.018
out;0.117;0.014;0.149;0.002;0.112;0.291;0.013;0.082;0.032;0.006
region;0.035;0.033;0.009;0.181;0.021;0.02;0.008;0.487;0.077;0.013
total;0.141;0.244;0.002;0.113;0.102;0.002;0.153;0.052;0.146;0
up;0.001;0.007;0;0.021;0.151;0.019;0.057;0.094;0.009;0
2;0.038;0.029;0.116;0.351;0.011;0.013;0.033;0.06;0.068;0.06
Eastern;0.36;0.099;0.013;0.033;0.112;0.1;0.171;0.049;0;0.008
Europe;0.036;0.301;0.037;0.005;0.064;0.002;0.101;0.033;0.107;0.09
future;0.337;0.001;0.002;0.016;0.163;0.041;0.035;0.082;0.005;0.009
migration;0.14;0.001;0.168;0.246;0;0.058;0.002;0.113;0.022;0.041
only;0.147;0.094;0.169;0.018;0.003;0.125;0.036;0.054;0.012;0.019
technical;0.53;0.031;0.006;0.067;0.233;0.024;0.035;0.009;0.003;0.007
Warsaw;0.476;0.004;0.275;0.111;0.053;0.006;0.001;0.027;0.001;0.004
data;0.16;0;0.324;0.072;0.075;0.257;0.003;0.053;0.021;0.018
