"Member";-0.21344;0.9661;-0.02298;0.0166;0.26537;3.90671;0.17892;2.07509;0.2027;3.17227;0.15466;2.6215;-0.00888;0.01019;-0.01701;0.04499;0.02639;0.12954;-0.04623;0.41292
"deployed";0.14456;0.13797;-0.32814;1.05347;0.1915;0.6334;-0.0173;0.00604;-0.0174;0.00728;0.0785;0.21025;0.02549;0.02613;0.0554;0.14852;0.08013;0.37183;0.07868;0.37231
"detected";0.25156;0.63382;-0.03921;0.02282;-0.12983;0.44161;0.08667;0.22999;0.1026;0.38382;0.04107;0.08729;0.07123;0.30954;0.08297;0.50524;-0.01573;0.02173;-0.02024;0.03737
"Mediterranean";0.23568;0.71482;0.10577;0.21336;-0.00638;0.00137;0.05973;0.14035;0.12328;0.71206;0.03048;0.06178;0.03173;0.07893;0.06127;0.35399;-0.0368;0.15288;-0.09737;1.11147
"their";-0.07892;0.09409;0.06173;0.08532;-0.01027;0.00417;-0.11104;0.56938;0.09807;0.52901;-0.0186;0.02701;0.05996;0.33085;-0.05986;0.39673;0.17778;4.18783;-0.15852;3.45854
"States";-0.21773;0.95754;-0.00799;0.00191;0.29539;4.61059;0.16751;1.7325;0.17364;2.21744;0.14332;2.14438;-0.00668;0.00548;-0.03567;0.18833;0.02814;0.14032;-0.06033;0.6698
"2015";0.57842;1.64738;-0.50758;1.8798;0.04737;0.02891;-0.2924;1.28684;-0.06446;0.07448;-0.1918;0.93612;-0.13614;0.55584;-0.16057;0.93038;-0.1154;0.57514;-0.17986;1.45103
"This";0.05323;0.03567;0.04132;0.03186;0.0888;0.25971;-0.01317;0.00668;-0.05651;0.14637;-0.07427;0.35887;0.07119;0.38859;-0.03004;0.08326;0.00695;0.00534;0.04092;0.19204
"islands";0.48449;1.06383;-0.5637;2.13407;0.0896;0.09517;-0.18295;0.4637;-0.06876;0.078;-0.1407;0.46367;-0.09826;0.26653;-0.08361;0.2322;-0.07264;0.20976;-0.07635;0.24068
"Italy";0.01571;0.00218;-0.1666;0.36362;0.0329;0.02504;0.10029;0.27183;-0.04541;0.06639;0.02363;0.02551;-0.13313;0.95428;0.02386;0.0369;-0.07796;0.47124;-0.04086;0.13448
"Western";0.36184;1.09156;-0.04552;0.0256;-0.08287;0.14977;-0.03076;0.02411;-0.05295;0.08511;-0.05766;0.14327;-0.09075;0.41822;-0.12654;0.97834;-0.08392;0.51492;0.00588;0.00263
"increase";0.09144;0.04678;-0.39494;1.29325;-0.07686;0.08648;0.10425;0.18588;-0.09391;0.17965;0.17;0.83569;-8e-05;0;0.04846;0.09629;0.01909;0.01789;0.06295;0.20201
"last";0.40066;1.22157;0.08775;0.08683;-0.05001;0.04979;-0.05013;0.05846;0.04506;0.05624;0.03398;0.0454;-0.00428;0.00085;0.20959;2.44976;-0.03361;0.0754;-0.14337;1.42491
"two";0.03663;0.01299;-0.04952;0.03517;0.04591;0.05337;-0.07467;0.16498;-0.08245;0.23958;0.02479;0.03075;-0.03488;0.07174;-0.04558;0.14738;-0.09833;0.82083;-0.00225;0.00045
"detections";0.18606;0.4087;-0.04281;0.03206;-0.1444;0.64395;0.13556;0.66322;0.02272;0.02218;-0.05828;0.20725;-0.02125;0.03248;-0.20458;3.62128;0.0187;0.03619;0.06371;0.43654
"first";0.15426;0.37016;0.18477;0.7869;0.02074;0.0175;0.12556;0.74967;0.17543;1.74283;-0.08433;0.57164;0.06633;0.41679;0.0769;0.67406;0.02157;0.06347;7e-05;0
"over";0.10682;0.06257;-0.27394;0.60976;-0.13737;0.27071;0.06826;0.07811;-0.27275;1.48523;0.24008;1.63336;0.32169;3.45607;0.08461;0.28767;0.04527;0.09856;-0.07212;0.25982
"Operation";0.00516;0.00015;-0.4145;1.42453;0.11787;0.20337;0.27581;1.30114;-0.13491;0.37076;-0.17124;0.84791;-0.29348;2.9353;0.27481;3.09669;0.09389;0.43262;0.17023;1.47714
"activities";-0.07158;0.06966;0.13744;0.38059;0.18674;1.24032;-0.05698;0.13493;-0.06834;0.23117;0.13061;1.19875;-0.10371;0.89074;0.01624;0.02628;-0.0181;0.03908;0.01021;0.01292
"guards";0.02967;0.00645;0.02091;0.00475;0.10042;0.19338;-0.01229;0.00339;-0.21433;1.22589;0.0052;0.00102;0.07216;0.23249;0.11461;0.70553;0.12821;1.05667;-0.0573;0.21926
"one";-0.12237;0.11897;-0.10176;0.12193;0.19266;0.77152;-0.06987;0.11858;0.10213;0.30174;0.25223;2.61237;-0.046;0.10238;0.06196;0.22354;-0.04314;0.12968;0.07909;0.45273
"it";-0.13286;0.14321;-0.11845;0.16869;0.05698;0.06891;-0.05787;0.08306;0.11748;0.40766;0.2269;2.15864;0.0476;0.11198;-0.05056;0.15199;-0.01196;0.01018;-0.01148;0.00974
"Turkey";0.25733;0.37794;-0.33789;0.96555;-0.06331;0.05983;0.13671;0.32607;-0.04417;0.04054;-0.14357;0.60795;-0.04357;0.06599;-0.06868;0.19727;-0.07113;0.25324;-0.03717;0.07183
"between";-0.21545;0.58957;-0.02066;0.00803;0.10665;0.37793;-0.0039;0.00059;-0.22819;2.40792;-0.17811;2.08235;-0.10198;0.80455;0.03955;0.1456;-0.02379;0.06306;-0.13957;2.25404
"other";-0.08753;0.07374;-0.09065;0.11718;0.00759;0.00145;-0.06874;0.139;0.02666;0.0249;0.04052;0.08168;-0.0353;0.07304;-0.09129;0.58783;-0.03245;0.08889;-0.01621;0.02303
"some";0.16173;0.12148;-0.30182;0.62691;0.03663;0.0163;-0.01159;0.00191;0.01222;0.00252;0.12013;0.34639;0.03408;0.03285;0.24637;2.06575;-0.14562;0.86368;-0.05765;0.14061
"all";-0.05251;0.03194;0.02882;0.01426;0.01345;0.00548;-0.0533;0.10057;0.02827;0.03371;-0.05676;0.19283;0.0872;0.53645;-0.12677;1.36416;0.04617;0.21656;-0.09922;1.0388
"he";0.03224;0.00529;-0.2064;0.32142;0.07998;0.0852;-0.02545;0.01008;0.02996;0.01664;-0.04906;0.06334;0.27701;2.37971;0.1444;0.77811;0.02964;0.03922;0.19447;1.7543
"been";-0.03491;0.00846;-0.12208;0.15322;0.10733;0.2091;0.17531;0.65179;-0.00211;0.00011;0.01279;0.00587;0.02512;0.02666;0.15917;1.28816;0.00577;0.00203;0.04133;0.10794
"countries";0.0272;0.00927;0.10993;0.22446;0.15709;0.8091;-0.06392;0.15654;-0.11357;0.58853;-0.03499;0.07929;-0.01;0.00764;-0.14106;1.82763;-0.13296;1.94341;0.03652;0.15225
